BookID,title,ean_isbn13,upc_isbn10,description,publisher,publish_date
11,Lady Tans Circle of Women,,,,,
12,1Q84,9780307476463.0,307476464,"Murakami is like a magician who explains what hes doing as he performs the trick and still makes you believe he has supernatural powers . . . But while anyone can tell a story that resembles a dream, it's the rare artist, like this one, who can make us feel that we are dreaming it ourselves. The New York Times Book ReviewThe year is 1984 and the city is Tokyo.A young woman named Aomame follows a taxi drivers enigmatic suggestion and begins to notice puzzling discrepancies in the world around her. She has entered, she realizes, a parallel existence, which she calls 1Q84 Q is for question mark. A world that bears a question. Meanwhile, an aspiring writer named Tengo takes on a suspect ghostwriting project. He becomes so wrapped up with the work and its unusual author that, soon, his previously placid life begins to come unraveled. As Aomames and Tengos narratives converge over the course of this single year, we learn of the profound and tangled connections that bind them ever closer: a beautiful, dyslexic teenage girl with a unique vision; a mysterious religious cult that instigated a shoot-out with the metropolitan police; a reclusive, wealthy dowager who runs a shelter for abused women; a hideously ugly private investigator; a mild-mannered yet ruthlessly efficient bodyguard; and a peculiarly insistent television-fee collector.A love story, a mystery, a fantasy, a novel of self-discovery, a dystopia to rival George Orwells1Q84 is Haruki Murakamis most ambitious undertaking yet: an instant best seller in his native Japan, and a tremendous feat of imagination from one of our most revered contemporary writers.",Vintage,2013-01-22
13,"Red, White &amp; Royal Blue",9781250316776.0,1250316774,"A PopSugar Must-Read Book of 2019! What happens when America's First Son falls in love with the Prince of Wales? When his mother became President, Alex Claremont-Diaz was promptly cast as the American equivalent of a young royal. Handsome, charismatic, geniushis image is pure millennial-marketing gold for the White House. There's only one problem: Alex has a beef with the actual prince, Henry, across the pond. And when the tabloids get hold of a photo involving an Alex-Henry altercation, U.S./British relations take a turn for the worse. Heads of family, state, and other handlers devise a plan for damage control: staging a truce between the two rivals. What at first begins as a fake, Instragramable friendship grows deeper, and more dangerous, than either Alex or Henry could have imagined. Soon Alex finds himself hurtling into a secret romance with a surprisingly unstuffy Henry that could derail the campaign and upend two nations and begs the question: Can love save the world after all? Where do we find the courage, and the power, to be the people we are meant to be? And how can we learn to let our true colors shine through? Casey McQuiston's Red, White &amp; Royal Blue proves: true love isn't always diplomatic. ""I took this with me wherever I went and stole every second I had to read! Absorbing, hilarious, tender, sexythis book had everything I crave. Im jealous of all the readers out there who still get to experience Red, White &amp; Royal Blue for the first time!"" - Christina Lauren, New York Times bestselling author of Love and Other Words and Roomies ""Red, White &amp; Royal Blue is outrageously fun. It is romantic, sexy, witty, and thrilling. I loved every second."" - Taylor Jenkins Reid, New York Times bestselling author of Daisy Jones &amp; The Six",St. Martin's Griffin,2019-05-14
14,The Cider House Rules,9780345417947.0,345417941,"First published in 1985, The Cider House Rules is set in rural Maine in the first half of the twentieth century. The novel tells the story of Dr. Wilbur Larch&ndash;saint and obstetrician, founder and director of the orphanage in the town of St. Cloud&rsquo;s, ether addict and abortionist. This is also the story of Dr. Larch&rsquo;s favorite orphan, Homer Wells, who is never adopted.",Ballantine Books,1997-06-23
15,"A Game of Thrones (A Song of Ice and Fire, Book 1)",9780553381689.0,553381687,"A NEW ORIGINAL SERIES, NOW ON HBO.Here is the first volume in George R. R. Martins magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martins stunning series is destined to stand as one of the great achievements of imaginative fiction.A GAME OF THRONESLong ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister and supernatural forces are massing beyond the kingdoms protective Wall. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the land they were born to. Sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens.Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; and a determined woman undertakes the most treacherous of journeys. Amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the Starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones.",Bantam,2002-05-28
16,Dark Matter: A Novel,9781101904244.0,1101904240,"A mindbending, relentlessly surprising thriller from the author of the bestselling Wayward Pines trilogy-Are you happy with your life? Those are the last words Jason Dessen hears before the masked abductor knocks him unconscious. Before he awakens to find himself strapped to a gurney, surrounded by strangers in hazmat suits. Before a man Jasons never met smiles down at him and says, Welcome back, my friend. In this world hes woken up to, Jasons life is not the one he knows. His wife is not his wife. His son was never born. And Jason is not an ordinary college physics professor, but a celebrated genius who has achieved something remarkable. Something impossible.Is it this world or the other thats the dream? And even if the home he remembers is real, how can Jason possibly make it back to the family he loves? The answers lie in a journey more wondrous and horrifying than anything he couldve imaginedone that will force him to confront the darkest parts of himself even as he battles a terrifying, seemingly unbeatable foe.Dark Matter is a brilliantly plotted tale that is at once sweeping and intimate, mind-bendingly strange and profoundly humana relentlessly surprising science-fiction thriller about choices, paths not taken, and how far well go to claim the lives we dream of.",Broadway Books,2017-05-02
17,Two Twisted Crowns,9780316312714.0,316312711,"Elspeth and Ravyn have gathered most of the twelve Providence Cards, but the last, and most important one remains to be found: The Twin Alders. If they are going to find it before the Solstice and cure the kingdom of the dark magic infecting it, they will need to journey beyond the dangerous mist-cloaked forest that surrounds their kingdom. And the only one who can lead them there is the monster that shares Elspeth's head: The Nightmare. And he's not eager to share any longer.",Orbit,2023-10-17
18,"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising",9781250196231.0,125019623X,"All three books in the New York Times-bestselling Shadow and Bone Trilogy are now available together in a beautiful paperback box set that includes a collectible poster-sized map of Leigh Bardugo's Grishaverse.Soldier. Summoner. Saint. Follow Alina Starkov through Shadow and Bone, Siege and Storm, and Ruin and Rising as she discovers her dormant powers and is swept up in a world of luxury and illusion. As Alina struggles to fit into her new life, a threat to the kingdom of Ravka growsone that will test old alliances and challenge the very limits of magic, one that will forge a leader from a frightened girl.Praise for The Shadow and Bone Trilogy: ""This is what fantasy is for. Laini Taylor for The New York Times on Shadow and BoneSet in a fascinating, unique world rich with detail, Shadow and Bone was unlike anything I've ever read. Alina is a clever, sympathetic character I will gladly follow into the next installmentwhich can't come soon enough! Veronica Roth, New York Timesbestselling author of Divergent, on Shadow and BoneFilled with lush descriptions, intriguing magic, and plenty of twists, this memorable adventure offers action and intrigue mixed with an undercurrent of romance and danger. Publishers Weekly on Shadow and BoneA heady blend of fantasy, romance, and adventure. Rick Riordan, #1 New York Times-bestselling author of the Percy Jackson series, on Siege and StormA well-drawn world, full of deceit and mythology, populated by entirely believable characters. Full of truly surprising twists and turns, beautiful imagery and a protagonist it's impossible not to root for, this is a great choice for teenage fans of George R.R. Martin and J.R.R. Tolkien. RT Book Reviews on Shadow and Bone""If opener Shadow and Bone was a magical coming-of-age story and middle-volume Siege and Storm was a political thriller, then this third book is an epic quest . . . Every time readers may think she's written herself into a corner, Bardugo pulls off a twist that, while surprising, will keep them turning pages furiously. Kirkus Reviews, starred review, on Ruin and Rising",Square Fish,2017-11-13
19,Bunnicula Strikes Again!,9781416939689.0,1416939687,"IT&#039;S HAPPENING AGAIN.   The Monroes&#039; kitchen is littered with the remains of vegetables drained of all color. To Chester it&#039;s obvious that Bunnicula, the vampire rabbit, is up to his old tricks.   But Harold is more frightened for Bunnicula than of him. The poor bunny doesn&#039;t look too good. Is he sick? Or just unhappy? Or has Chester finally gone too far in his attempt to make the world safe for veggies?   One thing&#039;s for sure: Harold isn&#039;t going to let anything bad happen to his long-eared pal -- even if it means leaving the comfort of his home, losing his best friend, and risking his own life. And if he fails -- could this be the end of Bunnicula?",Atheneum Books for Young Readers,2007-08-07
20,Return to Howliday Inn (Bunnicula),9781416939672.0,1416939679,"HOW DID ROSEBUD CHECK OUT FROM HOWLIDAY INN?   The Monroes have gone on vacation, once again leaving Harold, Chester, and Howie at Chateau Bow-Wow, which Chester aptly dubbed &quot;Howliday Inn&quot; during their last stay there. The motley crew of boarders may have changed, but the creepy goings-on at Howliday Inn have not. A ghostly voice, buried bones, and a collar with the name &quot;Rosebud&quot; on it suggest that murder may have been added to the services offered at the kennel.   A pair of yuppie puppies from posh Upper Centerville, two cat burglars (sisters-in-crime) named Felony and Miss Demeanor, a melancholy Great Dane named Hamlet, and a weasel named, well, The Weasel, join the Monroe pets in getting to the bottom of the mysterious happenings. But will they be able to escape the fate that may have befallen Rosebud?",Atheneum Books for Young Readers,2007-08-07
21,Howliday Inn (Bunnicula),9781416928157.0,1416928154,"Not a great place to visit, and you wouldn&#039;t want to live there   The Monroes have gone on vacation, leaving Harold and Chester at Chateau Bow-Wow -- not exactly a four-star hotel. On the animals&#039; very first night there, the silence is pierced by a peculiar wake-up call -- an unearthly howl that makes Chester observe that the place should be called Howliday Inn.   But the mysterious cries in the night (Chester is convinced there are werewolves afoot) are just the beginning of the frightening goings-on. Soon animals start disappearing, and there are whispers of murder. Is checkout time at Chateau Bow-Wow going to come earlier than Harold and Chester anticipated?",Atheneum Books for Young Readers,2006-08-08
22,The Celery Stalks at Midnight (Bunnicula),9781416928140.0,1416928146,"HARE TODAY, GONE TOMORROW   Bunnicula is missing! Chester is convinced all the world&#039;s vegetables are in danger of being drained of their life juices and turned into zombies. Soon he has Harold and Howie running around sticking toothpicks through hearts of lettuce and any other veggie in sight. Of course, Chester has been known to be wrong before...but you can never be too careful when there&#039;s a vampire bunny at large!",Atheneum Books for Young Readers,2006-08-29
23,Bunnicula: A Rabbit-Tale of Mystery,9781416928171.0,1416928170,"BEWARE THE HARE! Is he or isn&#039;t he a vampire?   Before it&#039;s too late, Harold the dog and Chester the cat must find out the truth about the newest pet in the Monroe household -- a suspicious-looking bunny with unusual habits...and fangs!",Atheneum Books for Young Readers,2006-08-08
24,Bunnicula Meets Edgar Allan Crow (Bunnicula and Friends),9781416914730.0,1416914730,"The Monroe house is going mad with excitement. Pete has just won a contest, and the prize is a school visit from none other than M. T. Graves, Pete&#039;s idol and the bestselling author of the FleshCrawlers series. He&#039;s even going to stay with the Monroes while he&#039;s visiting! Harold and Howie are thrilled, but Chester the cat is suspicious. Why does Graves dress all in black? Why doesn&#039;t the beady-eyed crow perched on his shoulder say anything? Why has a threatening flock of crows invaded the backyard? And most worrisome of all: In each of the FleshCrawlers books, why does something bad always happen to the pets? Suddenly, Graves&#039;s interest in all of the animals -- especially Bunnicula -- looks far from innocent. It&#039;s up to Chester, Harold, and Howie to find out if M. T. Graves and Edgar Allan Crow are really devising a plot to make their beloved bunny. . . NEVERMORE.",Atheneum Books for Young Readers,2008-08-05
25,Nighty-Nightmare (Bunnicula),9781416939665.0,1416939660,"THINGS ARE NOT WHAT THEY SEEM....   Are Harold, Howie, and Chester simply lost in the woods with Dawg, their strange new friend? Or have they been lured away from their campsite intentionally, leaving the Monroes at the mercy of evil spirits with mayhem on their minds? Lulling Dawg to sleep with a bedtime story may be their only hope of escaping -- but is the hare-raising tale of the origins of Bunnicula, the vampire bunny, really a bedtime story?",Atheneum Books for Young Readers,2007-08-07
26,The Hotel New Hampshire (Ballantine Reader's Circle),9780345417954.0,34541795,"&ldquo;The first of my father&rsquo;s illusions was that bears could survive the life lived by human beings, and the second was that human beings could survive a life led in hotels.&rdquo; So says John Berry, son of a hapless dreamer, brother to a cadre of eccentric siblings, and chronicler of the lives lived, the loves experienced, the deaths met, and the myriad strange and wonderful times encountered by the family Berry. Hoteliers, pet-bear owners, friends of Freud (the animal trainer and vaudevillian, that is), and playthings of mad fate, they &ldquo;dream on&rdquo; in a funny, sad, outrageous, and moving novel by the remarkable author of A Prayer for Owen Meany and Last Night in Twisted River.",Ballantine Books,1997-06-23
27,Kat and Mouse,9781733940207.0,1733940200,"Katrina Brooks is a gifted photographer and an excellent roller derby referee. When she's wearing her stripes, she's focused and professional--and she rarely misses a call. Problem is, Kat's got her eye on a ""Mouse"" who has a knack for getting into trouble.Dorothy Mauser (Dot) is a trash-picking junk artist with a big heart but a volatile temper. She's also the most penalty-heavy skater in Crosscannon Roller Derby. Far from realizing our ref has a thing for her, Dot thinks Kat has it in for her.As Kat prepares her work for display at Crosscannon Pridefest, Dot gets a chance to see her true colors. A tentative collaboration between these two artists quickly reveals a mutual attraction. But with playoffs on the horizon, their newfound connection may not survive their on-the-track tension--or the deeper insecurities it brings to light. Can Kat and Mouse overcome the instincts driving them apart? Or, for them, is animosity just the nature of the game?",Metal Heart Press,2019-06-01
28,The Woman in the Window: A Novel,9780062678423.0,62678426,"Instant #1 New York Times Bestseller!For readers of Gillian Flynn and Tana French comes one of the decades most anticipated debuts, to be published in thirty-six languages around the world and already in development as a major film from Fox: a twisty, powerful Hitchcockian thriller about an agoraphobic woman who believes she witnessed a crime in a neighboring house.It isnt paranoia if its really happening . . . Anna Fox lives alonea recluse in her New York City home, unable to venture outside. She spends her day drinking wine (maybe too much), watching old movies, recalling happier times . . . and spying on her neighbors.Then the Russells move into the house across the way: a father, mother, their teenaged son. The perfect family. But when Anna, gazing out her window one night, sees something she shouldnt, her world begins to crumble and its shocking secrets are laid bare.What is real? What is imagined? Who is in danger? Who is in control? In this diabolically gripping thriller, no oneand nothingis what it seems.Twisty and powerful, ingenious and moving, The Woman in the Window is a smart, sophisticated novel of psychological suspense that recalls the best of Hitchcock.",William Morrow Paperbacks,2019-03-05
29,"Fluke: Or, I Know Why the Winged Whale Sings (Today Show Book Club #25)",9780060566685.0,6056668,"Just why do humpback whales sing? That&#039;s the question that has marine behavioral biologist Nate Quinn and his crew poking, charting, recording, and photographing very big, wet, gray marine mammals. Until the extraordinary day when a whale lifts its tail into the air to display a cryptic message spelled out in foot-high letters: Bite me. Trouble is, Nate&#039;s beginning to wonder if he hasn&#039;t spent just a little too much time in the sun. &#039;Cause no one else on his team saw a thing -- not his longtime partner, Clay Demodocus; not their saucy young research assistant; not even the spliff-puffing white-boy Rastaman Kona (n&eacute; Preston Applebaum). But later, when a roll of film returns from the lab missing the crucial tail shot -- and his research facility is trashed -- Nate realizes something very fishy indeed is going on. By turns witty, irreverent, fascinating, puzzling, and surprising, Fluke is Christopher Moore at his outrageous best.",HarperCollins,2004-06-15
30,The Sentence,9780062671127.0,006267112X,"In this powerful and timely novel, National Book Award winning author Louise Erdrich explores how the burdens of history, and especially identity, appropriation, exploitation, and violence done to human beings in the name of justice, manifest in ordinary lives today. Revolving around a small independent bookstore in contemporary Minneapolis, The Sentence follows a turbulent year in the life of a strong though vulnerable Ojibwe woman named Tookie. After serving part of an outrageously long sentence, Tookie, who ""learned to read with murderous attention"" while in prison, naturally gravitates toward working at a bookstore. There she joins a dedicated community of artists and book lovers and begins to build a new life for herself. When Flora, the store's most persistent customer, suddenly dies, her ghost refuses to leave. Flora returns on All Soul's Day to haunt the bookstore and in particular, Tookie. Why? The mystery of this revenant's appearance leads Asema, a fellow Ojibwe bookseller, and Tookie to a shocking personal discovery with historical reverberations. Tookie finds that this year of disease, violence, and political upheaval is, on a worldwide scale, a year of ghosts and hauntings. A complicated love finds Tookie as well when Pollux, who has been in love with her for years, proposes, and they marry. Pollux was the tribal police officer who arrested Tookie all those years ago for a crime which turned out to be more serious than Tookie knew. How Pollux and Tookie overcome past betrayal and learn to trust each other is a challenge that will either deepen or destroy their love. The Sentence begins on All Soul's Day 2019 and ends on All Soul's Day 2020. Its mystery and proliferating ghost stories during this one year propel a narrative as rich, emotional, and profound as anything Louise Erdrich has written.",Harper,2021-11-09
31,House of Leaves,9780375703768.0,375703764,"Years ago, when House of Leaves was first being passed around, it was nothing more than a badly bundled heap of paper, parts of which would occasionally surface on the Internet. No one could have anticipated the small but devoted following this terrifying story would soon command. Starting with an odd assortment of marginalized youth -- musicians, tattoo artists, programmers, strippers, environmentalists, and adrenaline junkies -- the book eventually made its way into the hands of older generations, who not only found themselves in those strangely arranged pages but also discovered a way back into the lives of their estranged children.Now, for the first time, this astonishing novel is made available in book form, complete with the original colored words, vertical footnotes, and newly added second and third appendices.The story remains unchanged, focusing on a young family that moves into a small home on Ash Tree Lane where they discover something is terribly wrong: their house is bigger on the inside than it is on the outside.Of course, neither Pulitzer Prize-winning photojournalist Will Navidson nor his companion Karen Green was prepared to face the consequences of that impossibility, until the day their two little children wandered off and their voices eerily began to return another story -- of creature darkness, of an ever-growing abyss behind a closet door, and of that unholy growl which soon enough would tear through their walls and consume all their dreams.",Pantheon,2000-03-07
32,Slewfoot,9781250621993.0,1250621992,"Set in Colonial New England, Slewfoot is a tale of magic and mystery, of triumph and terror as only dark fantasist Brom can tell it. Connecticut, 1666: An ancient spirit awakens in a dark wood. The wildfolk call him Father, slayer, protector. The colonists call him Slewfoot, demon, devil. To Abitha, a recently widowed outcast, alone and vulnerable in her pious village, he is the only one she can turn to for help. Together, they ignite a battle between pagan and Puritan - one that threatens to destroy the entire village, leaving nothing but ashes and bloodshed in their wake. This terrifying tale of bewitchery features more than two dozen of Brom's haunting full-color paintings and brilliant endpapers, fully immersing readers in this wild and unforgiving world.","Tom Doherty Associates, LLC",2023-04-25
33,The Prophet (A Borzoi Book),9780394404288.0,394404289,"Kahlil Gibran&rsquo;s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran&rsquo;s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.Each essay reveals deep insights into the impulses of the human heart and mind. The Chicago Post said of The Prophet: &ldquo;Cadenced and vibrant with feeling, the words of Kahlil Gibran bring to one&rsquo;s ears the majestic rhythm of Ecclesiastes . . . If there is a man or woman who can read this book without a quiet acceptance of a great man&rsquo;s philosophy and a singing in the heart as of music born within, that man or woman is indeed dead to life and truth.&rdquo;With twelve full-page drawings by Gibran, this beautiful work makes an incredible gift for anyone seeking enlightenment and inspiration.",Alfred A. Knopf,1923-09-23
34,The Once and Future Witches,9780316422017.0,316422010,"In the late 1800s, three sisters use witchcraft to change the course of history in this powerful novel of magic, family, and the suffragette movement. In 1893, there's no such thing as witches. There used to be, in the wild, dark days before the burnings began, but now witching is nothing but tidy charms and nursery rhymes. If the modern woman wants any measure of power, she must find it at the ballot box. But when the Eastwood sistersJames Juniper, Agnes Amaranth, and Beatrice Belladonnajoin the suffragists of New Salem, they begin to pursue the forgotten words and ways that might turn the women's movement into the witch's movement. Stalked by shadows and sickness, hunted by forces who will not suffer a witch to voteand perhaps not even to livethe sisters will need to delve into the oldest magics, draw new alliances, and heal the bond between them if they want to survive. There's no such thing as witches. But there will be. An homage to the indomitable power and persistence of women, The Once and Future Witches reimagines stories of revolution, motherhood, and women's suffrage--the lost ways are calling. Praise for The Once and Future Witches: ""A gorgeous and thrilling paean to the ferocious power of women. The characters live, bleed, and roar. I adore them, and long for witchcraft to awaken in all of us. Harrow makes it feel possible, and even likely.""Laini Taylor, New York Times bestselling author ""A glorious escape into a world where witchcraft has dwindled to a memory of women's magic, and three wild, sundered sisters hold the key to bring it back...A tale that will sweep you away.""Yangsze Choo, New York Times bestselling author ""This book is an amazing bit of spellcraft and resistance so needed in our times, and a reminder that secret words and ways can never be truly and properly lost, as long as there are tongues to speak them and ears to listen.""P. Djl Clark, author The Black God's Drum For more from Alix E. Harrow, check out The Ten Thousand Doors of January. Named One of theBest Books of the Year byNPR Books* Barnes and Noble*BookPage",Orbit,2021-09-28
